Is_Weekend,Total_Days,Avg_Volume_Mn,Avg_Value_Cr,Avg_Ticket_Size_Rs,Peak_Volume_Mn,Lowest_Volume_Mn
Weekday,1260,375.94,56923.85,1609.72,771.9,77.53
Weekend,505,374.97,48759.58,1375.23,761.77,71.28
