Fiscal_Year,Avg_Ticket_Size_Rs,Total_Volume_Mn,Total_Value_Cr
2015-16,2648.47,2.65,893.07
2016-17,2586.63,429.15,57020.87
2017-18,1517.97,3746.32,585710.45
2018-19,1720.34,10787.54,1836638.18
2019-20,1778.12,18880.89,3387744.72
2020-21,1854.6,38744.55,7159285.8
2021-22,1711.48,74044.48,12595077.87
2022-23,1561.04,117641.09,18292795.21
2023-24,1437.32,172208.01,24682520.78
2024-25,1315.45,228281.85,29974737.57
2025-26,1310.86,42097.62,5517710.51
