Date,Volume_Mn,Value_Cr,Day_of_Week,Day_of_Month,Is_Weekend,Month_Year,Avg_Transaction_Value_Rs
07-07-2024,483,59336.17,Sunday,7,Weekend,Jul-2024,1228.492133
08-07-2024,481.16,81314.51,Monday,8,Weekday,Jul-2024,1689.968202
09-07-2024,482.9,77115.53,Tuesday,9,Weekday,Jul-2024,1596.92545
10-07-2024,497.65,79215.04,Wednesday,10,Weekday,Jul-2024,1591.782176
11-07-2024,478.59,71809.73,Thursday,11,Weekday,Jul-2024,1500.443595
12-07-2024,467.41,66726.7,Friday,12,Weekday,Jul-2024,1427.58392
13-07-2024,462.29,59489.69,Saturday,13,Weekend,Jul-2024,1286.847866
14-07-2024,464.72,50682.42,Sunday,14,Weekend,Jul-2024,1090.601222
15-07-2024,470.23,71054.85,Monday,15,Weekday,Jul-2024,1511.065861
16-07-2024,464.17,66028.97,Tuesday,16,Weekday,Jul-2024,1422.516966
17-07-2024,450.93,55967.88,Wednesday,17,Weekday,Jul-2024,1241.165591
18-07-2024,454.71,62967.39,Thursday,18,Weekday,Jul-2024,1384.781289
19-07-2024,457.8,61525.81,Friday,19,Weekday,Jul-2024,1343.945173
20-07-2024,430.64,57542.05,Saturday,20,Weekend,Jul-2024,1336.198449
21-07-2024,446.38,48180.54,Sunday,21,Weekend,Jul-2024,1079.361531
22-07-2024,451.97,64897.57,Monday,22,Weekday,Jul-2024,1435.882249
23-07-2024,450.45,64321.06,Tuesday,23,Weekday,Jul-2024,1427.92896
24-07-2024,447.29,61048.58,Wednesday,24,Weekday,Jul-2024,1364.854569
25-07-2024,445.32,61610.72,Thursday,25,Weekday,Jul-2024,1383.515674
26-07-2024,455.68,59531.17,Friday,26,Weekday,Jul-2024,1306.424903
27-07-2024,457.27,55364.35,Saturday,27,Weekend,Jul-2024,1210.758414
28-07-2024,451.75,45136,Sunday,28,Weekend,Jul-2024,999.1366906
29-07-2024,441.72,62312.64,Monday,29,Weekday,Jul-2024,1410.68188
30-07-2024,446.22,63738.25,Tuesday,30,Weekday,Jul-2024,1428.40415
31-07-2024,459.97,77902.69,Wednesday,31,Weekday,Jul-2024,1693.647194
01-08-2024,492.75,86207.47,Thursday,1,Weekday,Aug-2024,1749.517402
02-08-2024,503.52,80650.53,Friday,2,Weekday,Aug-2024,1601.73439
03-08-2024,498.53,74840.21,Saturday,3,Weekend,Aug-2024,1501.21778
04-08-2024,494.13,60733.24,Sunday,4,Weekend,Aug-2024,1229.094368
05-08-2024,502.98,87105.05,Monday,5,Weekday,Aug-2024,1731.779594
06-08-2024,484.68,75775.76,Tuesday,6,Weekday,Aug-2024,1563.418338
07-08-2024,494.56,75924.48,Wednesday,7,Weekday,Aug-2024,1535.192494
08-08-2024,499.05,74517.12,Thursday,8,Weekday,Aug-2024,1493.179441
09-08-2024,499.9,71679.83,Friday,9,Weekday,Aug-2024,1433.883377
10-08-2024,501.9,68937.11,Saturday,10,Weekend,Aug-2024,1373.522813
11-08-2024,484.2,53711.43,Sunday,11,Weekend,Aug-2024,1109.281908
12-08-2024,494.81,73511.02,Monday,12,Weekday,Aug-2024,1485.641357
13-08-2024,493.85,69591.51,Tuesday,13,Weekday,Aug-2024,1409.162904
14-08-2024,508.97,70932.79,Wednesday,14,Weekday,Aug-2024,1393.653653
15-08-2024,479.6,53740.39,Thursday,15,Weekday,Aug-2024,1120.525229
16-08-2024,483.56,62853.27,Friday,16,Weekday,Aug-2024,1299.80292
17-08-2024,489.28,64285.9,Saturday,17,Weekend,Aug-2024,1313.887753
18-08-2024,497.59,52964.5,Sunday,18,Weekend,Aug-2024,1064.420507
19-08-2024,479.51,57096.04,Monday,19,Weekday,Aug-2024,1190.716356
20-08-2024,456.76,63752.32,Tuesday,20,Weekday,Aug-2024,1395.750941
21-08-2024,465.51,63404.65,Wednesday,21,Weekday,Aug-2024,1362.047002
22-08-2024,465,61990.5,Thursday,22,Weekday,Aug-2024,1333.129032
23-08-2024,461.58,60477.73,Friday,23,Weekday,Aug-2024,1310.232896
24-08-2024,457.83,56689.96,Saturday,24,Weekend,Aug-2024,1238.231658
25-08-2024,461.07,47468.27,Sunday,25,Weekend,Aug-2024,1029.52415
26-08-2024,460.52,56543.09,Monday,26,Weekday,Aug-2024,1227.80965
27-08-2024,452.14,60871.56,Tuesday,27,Weekday,Aug-2024,1346.298934
28-08-2024,463.69,62645.47,Wednesday,28,Weekday,Aug-2024,1351.020509
29-08-2024,462.19,64211.45,Thursday,29,Weekday,Aug-2024,1389.286873
30-08-2024,477.71,71082.16,Friday,30,Weekday,Aug-2024,1487.977225
31-08-2024,495.67,76540.76,Saturday,31,Weekend,Aug-2024,1544.187867
01-09-2024,511.42,69073.83,Sunday,1,Weekend,Sep-2024,1350.628251
02-09-2024,511.18,86274.07,Monday,2,Weekday,Sep-2024,1687.743456
03-09-2024,515.89,81437.03,Tuesday,3,Weekday,Sep-2024,1578.573533
04-09-2024,527.68,83685.23,Wednesday,4,Weekday,Sep-2024,1585.908695
05-09-2024,527.55,80797.4,Thursday,5,Weekday,Sep-2024,1531.559094
06-09-2024,530.7,77713.57,Friday,6,Weekday,Sep-2024,1464.359714
07-09-2024,502.87,65498.43,Saturday,7,Weekend,Sep-2024,1302.492294
08-09-2024,491.56,56165.45,Sunday,8,Weekend,Sep-2024,1142.596021
09-09-2024,508.43,79490.57,Monday,9,Weekday,Sep-2024,1563.451606
10-09-2024,511.45,78254.62,Tuesday,10,Weekday,Sep-2024,1530.05416
11-09-2024,514.6,75806.41,Wednesday,11,Weekday,Sep-2024,1473.113292
12-09-2024,498.81,70296.67,Thursday,12,Weekday,Sep-2024,1409.287504
13-09-2024,507.92,70079.7,Friday,13,Weekday,Sep-2024,1379.738935
14-09-2024,509.66,65219.02,Saturday,14,Weekend,Sep-2024,1279.657419
15-09-2024,494.6,53280.38,Sunday,15,Weekend,Sep-2024,1077.241812
16-09-2024,492.33,63984.34,Monday,16,Weekday,Sep-2024,1299.623017
17-09-2024,468.91,59687.43,Tuesday,17,Weekday,Sep-2024,1272.897358
18-09-2024,499.14,66289.32,Wednesday,18,Weekday,Sep-2024,1328.070682
19-09-2024,500.68,68177.63,Thursday,19,Weekday,Sep-2024,1361.700687
20-09-2024,500.27,65412.69,Friday,20,Weekday,Sep-2024,1307.547724
21-09-2024,495.1,63704.4,Saturday,21,Weekend,Sep-2024,1286.697637
22-09-2024,490.51,50664.47,Sunday,22,Weekend,Sep-2024,1032.893723
23-09-2024,488.8,66590.44,Monday,23,Weekday,Sep-2024,1362.324877
24-09-2024,482.45,63656.76,Tuesday,24,Weekday,Sep-2024,1319.447818
25-09-2024,481.23,66166.94,Wednesday,25,Weekday,Sep-2024,1374.954596
26-09-2024,480.46,66459.08,Thursday,26,Weekday,Sep-2024,1383.238563
27-09-2024,493.89,66716.07,Friday,27,Weekday,Sep-2024,1350.828525
28-09-2024,495.67,61976.27,Saturday,28,Weekend,Sep-2024,1250.353461
29-09-2024,477.38,50108.87,Sunday,29,Weekend,Sep-2024,1049.664209
30-09-2024,530.61,91327.62,Monday,30,Weekday,Sep-2024,1721.181659
01-10-2024,546.53,92658.75,Tuesday,1,Weekday,Oct-2024,1695.400984
02-10-2024,544.74,77705,Wednesday,2,Weekday,Oct-2024,1426.46033
03-10-2024,548.27,88839.15,Thursday,3,Weekday,Oct-2024,1620.354023
04-10-2024,544.83,86830.46,Friday,4,Weekday,Oct-2024,1593.716572
05-10-2024,547.33,84513.18,Saturday,5,Weekend,Oct-2024,1544.099172
06-10-2024,535.76,66431.56,Sunday,6,Weekend,Oct-2024,1239.949978
07-10-2024,550.75,92458.79,Monday,7,Weekday,Oct-2024,1678.779664
08-10-2024,551.06,85158.96,Tuesday,8,Weekday,Oct-2024,1545.366385
09-10-2024,559.89,85547.24,Wednesday,9,Weekday,Oct-2024,1527.929415
10-10-2024,558.93,82983.3,Thursday,10,Weekday,Oct-2024,1484.681445
11-10-2024,535.59,69918.71,Friday,11,Weekday,Oct-2024,1305.452118
12-10-2024,516.79,56546.43,Saturday,12,Weekend,Oct-2024,1094.18584
13-10-2024,506.88,53064.06,Sunday,13,Weekend,Oct-2024,1046.876184
14-10-2024,516.22,75016.77,Monday,14,Weekday,Oct-2024,1453.193793
15-10-2024,506.76,73329.45,Tuesday,15,Weekday,Oct-2024,1447.025219
16-10-2024,520.25,72971.45,Wednesday,16,Weekday,Oct-2024,1402.622778
17-10-2024,515.71,70391.28,Thursday,17,Weekday,Oct-2024,1364.93921
18-10-2024,521.46,68930.91,Friday,18,Weekday,Oct-2024,1321.882982
19-10-2024,526.22,70977.77,Saturday,19,Weekend,Oct-2024,1348.823116
20-10-2024,528.99,57448.79,Sunday,20,Weekend,Oct-2024,1086.008998
21-10-2024,510.03,73501.45,Monday,21,Weekday,Oct-2024,1441.12013
22-10-2024,510.53,72169.83,Tuesday,22,Weekday,Oct-2024,1413.625644
23-10-2024,519.75,72706.64,Wednesday,23,Weekday,Oct-2024,1398.877152
24-10-2024,510.43,69192.29,Thursday,24,Weekday,Oct-2024,1355.568638
25-10-2024,517.91,74389.67,Friday,25,Weekday,Oct-2024,1436.343573
26-10-2024,525.1,68761.95,Saturday,26,Weekend,Oct-2024,1309.502
27-10-2024,519.8,57620.64,Sunday,27,Weekend,Oct-2024,1108.515583
28-10-2024,532.59,82704.73,Monday,28,Weekday,Oct-2024,1552.878011
29-10-2024,565.27,87452.79,Tuesday,29,Weekday,Oct-2024,1547.09767
30-10-2024,546.46,94276.43,Wednesday,30,Weekday,Oct-2024,1725.221059
31-10-2024,644.12,85323.03,Thursday,31,Weekday,Oct-2024,1324.644942
01-11-2024,517.58,74047.52,Friday,1,Weekday,Nov-2024,1430.648789
02-11-2024,521.78,75055.57,Saturday,2,Weekend,Nov-2024,1438.452413
03-11-2024,504.8,63120.41,Sunday,3,Weekend,Nov-2024,1250.404319
04-11-2024,526.56,89858.79,Monday,4,Weekday,Nov-2024,1706.525182
05-11-2024,528.09,85256.12,Tuesday,5,Weekday,Nov-2024,1614.424057
06-11-2024,529.45,81865.72,Wednesday,6,Weekday,Nov-2024,1546.240816
07-11-2024,521.3,77688.12,Thursday,7,Weekday,Nov-2024,1490.276616
08-11-2024,521.8,74332.91,Friday,8,Weekday,Nov-2024,1424.547911
09-11-2024,531.18,73528.63,Saturday,9,Weekend,Nov-2024,1384.250725
10-11-2024,530.8,62533.33,Sunday,10,Weekend,Nov-2024,1178.095893
11-11-2024,534.55,82436.94,Monday,11,Weekday,Nov-2024,1542.174539
12-11-2024,526.09,77463.41,Tuesday,12,Weekday,Nov-2024,1472.436465
13-11-2024,528.52,75100.7,Wednesday,13,Weekday,Nov-2024,1420.96231
14-11-2024,522.69,73219.2,Thursday,14,Weekday,Nov-2024,1400.815015
15-11-2024,503.28,63789.6,Friday,15,Weekday,Nov-2024,1267.477349
16-11-2024,525.89,69831.22,Saturday,16,Weekend,Nov-2024,1327.867425
17-11-2024,509.85,54171.35,Sunday,17,Weekend,Nov-2024,1062.495832
18-11-2024,509.49,70983.16,Monday,18,Weekday,Nov-2024,1393.219887
19-11-2024,502.71,69585.3,Tuesday,19,Weekday,Nov-2024,1384.203616
20-11-2024,505.73,67834.29,Wednesday,20,Weekday,Nov-2024,1341.314338
21-11-2024,508.62,70642.19,Thursday,21,Weekday,Nov-2024,1388.899178
22-11-2024,510.2,66901.25,Friday,22,Weekday,Nov-2024,1311.27499
23-11-2024,499.18,60675.87,Saturday,23,Weekend,Nov-2024,1215.510838
24-11-2024,500.58,51421.51,Sunday,24,Weekend,Nov-2024,1027.238603
25-11-2024,502.16,71726.73,Monday,25,Weekday,Nov-2024,1428.364067
26-11-2024,495.27,70195.84,Tuesday,26,Weekday,Nov-2024,1417.324692
27-11-2024,503.85,68595.69,Wednesday,27,Weekday,Nov-2024,1361.430783
28-11-2024,504.94,71091.2,Thursday,28,Weekday,Nov-2024,1407.913812
29-11-2024,519.92,77537.16,Friday,29,Weekday,Nov-2024,1491.328666
30-11-2024,535.17,84697.68,Saturday,30,Weekend,Nov-2024,1582.631313
01-12-2024,550.45,75107.21,Sunday,1,Weekend,Dec-2024,1364.469252
02-12-2024,560.5,95915.61,Monday,2,Weekday,Dec-2024,1711.250847
03-12-2024,555.38,89993.99,Tuesday,3,Weekday,Dec-2024,1620.403868
04-12-2024,561.98,90193.49,Wednesday,4,Weekday,Dec-2024,1604.923485
05-12-2024,556.27,86499.53,Thursday,5,Weekday,Dec-2024,1554.991821
06-12-2024,548.02,79287.54,Friday,6,Weekday,Dec-2024,1446.800117
07-12-2024,557.79,79101.01,Saturday,7,Weekend,Dec-2024,1418.114523
08-12-2024,549.66,64347.24,Sunday,8,Weekend,Dec-2024,1170.673507
09-12-2024,546.61,86326.84,Monday,9,Weekday,Dec-2024,1579.313221
10-12-2024,551.38,84053,Tuesday,10,Weekday,Dec-2024,1524.411477
11-12-2024,550.58,80326.73,Wednesday,11,Weekday,Dec-2024,1458.947474
12-12-2024,533.34,76196.74,Thursday,12,Weekday,Dec-2024,1428.671017
13-12-2024,541.16,74454.16,Friday,13,Weekday,Dec-2024,1375.825264
14-12-2024,538.88,68218.53,Saturday,14,Weekend,Dec-2024,1265.931747
15-12-2024,535.77,57635.58,Sunday,15,Weekend,Dec-2024,1075.752282
16-12-2024,537.84,76984.49,Monday,16,Weekday,Dec-2024,1431.36416
17-12-2024,537.2,77394.28,Tuesday,17,Weekday,Dec-2024,1440.697692
18-12-2024,534.22,73236.05,Wednesday,18,Weekday,Dec-2024,1370.896822
19-12-2024,535.43,74296.62,Thursday,19,Weekday,Dec-2024,1387.606597
20-12-2024,535.27,73223.48,Friday,20,Weekday,Dec-2024,1367.972799
21-12-2024,537.95,68924.5,Saturday,21,Weekend,Dec-2024,1281.24361
22-12-2024,528.54,54933.41,Sunday,22,Weekend,Dec-2024,1039.342528
23-12-2024,528.22,75243.27,Monday,23,Weekday,Dec-2024,1424.468403
24-12-2024,526.97,71475.66,Tuesday,24,Weekday,Dec-2024,1356.351595
25-12-2024,517.43,61906.4,Wednesday,25,Weekday,Dec-2024,1196.420772
26-12-2024,518.4,71169.36,Thursday,26,Weekday,Dec-2024,1372.865741
27-12-2024,508.58,68528.35,Friday,27,Weekday,Dec-2024,1347.444846
28-12-2024,514.91,64526.76,Saturday,28,Weekend,Dec-2024,1253.165796
29-12-2024,511.23,53660.5,Sunday,29,Weekend,Dec-2024,1049.635194
30-12-2024,525.29,78391.76,Monday,30,Weekday,Dec-2024,1492.352034
31-12-2024,594.74,93147.85,Tuesday,31,Weekday,Dec-2024,1566.194472
01-01-2025,568.43,81015.79,Wednesday,1,Weekday,Jan-2025,1425.255352
02-01-2025,565.22,94429.32,Thursday,2,Weekday,Jan-2025,1670.664874
03-01-2025,559.45,86371.9,Friday,3,Weekday,Jan-2025,1543.87166
04-01-2025,562.35,87686.56,Saturday,4,Weekend,Jan-2025,1559.287988
05-01-2025,557,70700.73,Sunday,5,Weekend,Jan-2025,1269.312926
06-01-2025,559.64,92101.54,Monday,6,Weekday,Jan-2025,1645.728325
07-01-2025,558.33,86148.85,Tuesday,7,Weekday,Jan-2025,1542.973689
08-01-2025,572.97,86474.61,Wednesday,8,Weekday,Jan-2025,1509.234515
09-01-2025,568.12,85038.14,Thursday,9,Weekday,Jan-2025,1496.83412
10-01-2025,578.76,86039.63,Friday,10,Weekday,Jan-2025,1486.620188
11-01-2025,568.27,76848.16,Saturday,11,Weekend,Jan-2025,1352.317736
12-01-2025,567.09,63403,Sunday,12,Weekend,Jan-2025,1118.041228
13-01-2025,555.67,78541.07,Monday,13,Weekday,Jan-2025,1413.44809
14-01-2025,522.69,66339.87,Tuesday,14,Weekday,Jan-2025,1269.201056
15-01-2025,533.54,72564.96,Wednesday,15,Weekday,Jan-2025,1360.065974
16-01-2025,533.1,71787.04,Thursday,16,Weekday,Jan-2025,1346.596136
17-01-2025,537.4,71032.39,Friday,17,Weekday,Jan-2025,1321.77875
18-01-2025,539.18,68860.95,Saturday,18,Weekend,Jan-2025,1277.142142
19-01-2025,530.65,56364.25,Sunday,19,Weekend,Jan-2025,1062.173749
20-01-2025,543.64,78187.93,Monday,20,Weekday,Jan-2025,1438.229895
21-01-2025,530.83,72609.39,Tuesday,21,Weekday,Jan-2025,1367.846392
22-01-2025,541.53,72846.1,Wednesday,22,Weekday,Jan-2025,1345.190479
23-01-2025,526.83,69306.15,Thursday,23,Weekday,Jan-2025,1315.531576
24-01-2025,536.72,69561.04,Friday,24,Weekday,Jan-2025,1296.039648
25-01-2025,553.02,67121.44,Saturday,25,Weekend,Jan-2025,1213.725363
26-01-2025,517.3,51023.09,Sunday,26,Weekend,Jan-2025,986.3346221
27-01-2025,534.67,74950.26,Monday,27,Weekday,Jan-2025,1401.804103
28-01-2025,532.8,72270.63,Tuesday,28,Weekday,Jan-2025,1356.430743
29-01-2025,532.75,70929.65,Wednesday,29,Weekday,Jan-2025,1331.387142
30-01-2025,535.94,76012.84,Thursday,30,Weekday,Jan-2025,1418.308766
31-01-2025,572.13,91469.83,Friday,31,Weekday,Jan-2025,1598.759548
01-02-2025,604.75,99835.69,Saturday,1,Weekend,Feb-2025,1650.858867
02-02-2025,591.6,75620.6,Sunday,2,Weekend,Feb-2025,1278.238675
03-02-2025,582.39,93245.74,Monday,3,Weekday,Feb-2025,1601.087587
04-02-2025,576.42,91126.6,Tuesday,4,Weekday,Feb-2025,1580.906284
05-02-2025,585.68,89847.56,Wednesday,5,Weekday,Feb-2025,1534.072531
06-02-2025,579.32,85577.46,Thursday,6,Weekday,Feb-2025,1477.205344
07-02-2025,582.16,83661.64,Friday,7,Weekday,Feb-2025,1437.090147
08-02-2025,584.84,78394.48,Saturday,8,Weekend,Feb-2025,1340.443198
09-02-2025,584.69,67170.58,Sunday,9,Weekend,Feb-2025,1148.823821
10-02-2025,592.82,92183.3,Monday,10,Weekday,Feb-2025,1554.996458
11-02-2025,581.06,85320.26,Tuesday,11,Weekday,Feb-2025,1468.355419
12-02-2025,589.43,82436.06,Wednesday,12,Weekday,Feb-2025,1398.572519
13-02-2025,574.28,77947.95,Thursday,13,Weekday,Feb-2025,1357.316118
14-02-2025,587.24,77266.11,Friday,14,Weekday,Feb-2025,1315.750119
15-02-2025,571.05,76162.54,Saturday,15,Weekend,Feb-2025,1333.728045
16-02-2025,553.05,59017.87,Sunday,16,Weekend,Feb-2025,1067.134436
17-02-2025,562.43,77737.39,Monday,17,Weekday,Feb-2025,1382.170048
18-02-2025,557.12,73824.81,Tuesday,18,Weekday,Feb-2025,1325.115056
19-02-2025,564.76,73200.56,Wednesday,19,Weekday,Feb-2025,1296.135704
20-02-2025,562.12,74075.68,Thursday,20,Weekday,Feb-2025,1317.791219
21-02-2025,564.77,71739.87,Friday,21,Weekday,Feb-2025,1270.249305
22-02-2025,565.47,67795.92,Saturday,22,Weekend,Feb-2025,1198.930447
23-02-2025,560.54,54660.38,Sunday,23,Weekend,Feb-2025,975.1379027
24-02-2025,563.48,75820.65,Monday,24,Weekday,Feb-2025,1345.57837
25-02-2025,576.5,76593.92,Tuesday,25,Weekday,Feb-2025,1328.602255
26-02-2025,552.08,62994.82,Wednesday,26,Weekday,Feb-2025,1141.045138
27-02-2025,555.48,75714.97,Thursday,27,Weekday,Feb-2025,1363.054835
28-02-2025,600.66,97508.29,Friday,28,Weekday,Feb-2025,1623.352479
01-03-2025,631.42,101627.92,Saturday,1,Weekend,Mar-2025,1609.513794
02-03-2025,608.03,79157.48,Sunday,2,Weekend,Mar-2025,1301.868
03-03-2025,599.45,97185.42,Monday,3,Weekday,Mar-2025,1621.24314
04-03-2025,594.56,93483.95,Tuesday,4,Weekday,Mar-2025,1572.321549
05-03-2025,596.26,93034.38,Wednesday,5,Weekday,Mar-2025,1560.298863
06-03-2025,584.1,87477.02,Thursday,6,Weekday,Mar-2025,1497.637733
07-03-2025,598,87218.22,Friday,7,Weekday,Mar-2025,1458.498662
08-03-2025,605.76,81507.5,Saturday,8,Weekend,Mar-2025,1345.541138
09-03-2025,604.78,68403.22,Sunday,9,Weekend,Mar-2025,1131.043024
10-03-2025,611.04,95763.57,Monday,10,Weekday,Mar-2025,1567.222604
11-03-2025,577.81,84906.83,Tuesday,11,Weekday,Mar-2025,1469.459338
12-03-2025,601.72,87615.79,Wednesday,12,Weekday,Mar-2025,1456.089045
13-03-2025,642.1,85570.94,Thursday,13,Weekday,Mar-2025,1332.673104
14-03-2025,514.99,51067.26,Friday,14,Weekday,Mar-2025,991.6165362
15-03-2025,580.76,71801.28,Saturday,15,Weekend,Mar-2025,1236.333081
16-03-2025,572.15,59622.54,Sunday,16,Weekend,Mar-2025,1042.078825
17-03-2025,580.35,80668.23,Monday,17,Weekday,Mar-2025,1389.992763
18-03-2025,572.64,76988.31,Tuesday,18,Weekday,Mar-2025,1344.445201
19-03-2025,576.13,76504.71,Wednesday,19,Weekday,Mar-2025,1327.90707
20-03-2025,575.82,78037.44,Thursday,20,Weekday,Mar-2025,1355.240179
21-03-2025,576.38,74557.68,Friday,21,Weekday,Mar-2025,1293.550782
22-03-2025,584.23,70233.03,Saturday,22,Weekend,Mar-2025,1202.146928
23-03-2025,587.44,58953.84,Sunday,23,Weekend,Mar-2025,1003.572109
24-03-2025,578.44,79820.41,Monday,24,Weekday,Mar-2025,1379.925489
25-03-2025,581.74,79710.62,Tuesday,25,Weekday,Mar-2025,1370.210403
26-03-2025,550.51,75842.65,Wednesday,26,Weekday,Mar-2025,1377.679788
27-03-2025,597.46,81231.4,Thursday,27,Weekday,Mar-2025,1359.612359
28-03-2025,605.24,84515.18,Friday,28,Weekday,Mar-2025,1396.391184
29-03-2025,627.19,87115.79,Saturday,29,Weekend,Mar-2025,1388.985634
30-03-2025,619.27,71617.99,Sunday,30,Weekend,Mar-2025,1156.490545
31-03-2025,565.72,75980.99,Monday,31,Weekday,Mar-2025,1343.084742
01-04-2025,529.72,74937,Tuesday,1,Weekday,Apr-2025,1414.653024
02-04-2025,619.27,102791.42,Wednesday,2,Weekday,Apr-2025,1659.880504
03-04-2025,606.99,95332.97,Thursday,3,Weekday,Apr-2025,1570.585512
04-04-2025,618.69,94268,Friday,4,Weekday,Apr-2025,1523.670982
05-04-2025,629.58,90299.35,Saturday,5,Weekend,Apr-2025,1434.279202
06-04-2025,588.27,68150.47,Sunday,6,Weekend,Apr-2025,1158.489639
07-04-2025,618.57,98216.32,Monday,7,Weekday,Apr-2025,1587.796369
08-04-2025,624.89,89887.4,Tuesday,8,Weekday,Apr-2025,1438.451567
09-04-2025,629.69,91452.18,Wednesday,9,Weekday,Apr-2025,1452.336547
10-04-2025,605.41,83751.64,Thursday,10,Weekday,Apr-2025,1383.387126
11-04-2025,620.26,85297.83,Friday,11,Weekday,Apr-2025,1375.194757
12-04-2025,554.3,68876.63,Saturday,12,Weekend,Apr-2025,1242.587588
13-04-2025,613.98,65305.33,Sunday,13,Weekend,Apr-2025,1063.639369
14-04-2025,582.69,70514.53,Monday,14,Weekday,Apr-2025,1210.155143
15-04-2025,608.94,83768.29,Tuesday,15,Weekday,Apr-2025,1375.641114
16-04-2025,606.39,82446.94,Wednesday,16,Weekday,Apr-2025,1359.635548
17-04-2025,598.31,79567.11,Thursday,17,Weekday,Apr-2025,1329.864284
18-04-2025,578.17,67342.78,Friday,18,Weekday,Apr-2025,1164.757424
19-04-2025,603.95,74613.71,Saturday,19,Weekend,Apr-2025,1235.428595
20-04-2025,587.89,60985.01,Sunday,20,Weekend,Apr-2025,1037.354097
21-04-2025,589.21,79430.34,Monday,21,Weekday,Apr-2025,1348.082008
22-04-2025,582.01,75876.17,Tuesday,22,Weekday,Apr-2025,1303.691861
23-04-2025,582.3,74632.32,Wednesday,23,Weekday,Apr-2025,1281.681607
24-04-2025,580.19,73457.31,Thursday,24,Weekday,Apr-2025,1266.090591
25-04-2025,585.05,74213.96,Friday,25,Weekday,Apr-2025,1268.506282
26-04-2025,583.12,69855.94,Saturday,26,Weekend,Apr-2025,1197.968514
27-04-2025,578.47,57359.23,Sunday,27,Weekend,Apr-2025,991.5679292
28-04-2025,583.22,79646.93,Monday,28,Weekday,Apr-2025,1365.641267
29-04-2025,587.91,81121.96,Tuesday,29,Weekday,Apr-2025,1379.83637
30-04-2025,615.99,101526.8,Wednesday,30,Weekday,Apr-2025,1648.189094
01-05-2025,627.04,96949.94,Thursday,1,Weekday,May-2025,1546.152399
02-05-2025,637.27,100248.07,Friday,2,Weekday,May-2025,1573.08629
03-05-2025,638.12,95776.08,Saturday,3,Weekend,May-2025,1500.910174
04-05-2025,627.64,78825.85,Sunday,4,Weekend,May-2025,1255.908642
05-05-2025,629.59,99229.03,Monday,5,Weekday,May-2025,1576.089677
06-05-2025,608.42,89592.71,Tuesday,6,Weekday,May-2025,1472.547089
07-05-2025,615.6,89345.34,Wednesday,7,Weekday,May-2025,1451.353801
08-05-2025,622.04,88440.61,Thursday,8,Weekday,May-2025,1421.783326
09-05-2025,613.06,86292.19,Friday,9,Weekday,May-2025,1407.565165
10-05-2025,617.64,83538.15,Saturday,10,Weekend,May-2025,1352.537886
11-05-2025,602.32,65341.59,Sunday,11,Weekend,May-2025,1084.831817
12-05-2025,558.68,78333.03,Monday,12,Weekday,May-2025,1402.109079
13-05-2025,605.07,84780.86,Tuesday,13,Weekday,May-2025,1401.17441
14-05-2025,609.74,84134.23,Wednesday,14,Weekday,May-2025,1379.8378
15-05-2025,606.49,83793.22,Thursday,15,Weekday,May-2025,1381.60926
16-05-2025,603.12,78259.65,Friday,16,Weekday,May-2025,1297.580084
17-05-2025,605.87,75787.32,Saturday,17,Weekend,May-2025,1250.884183
18-05-2025,595.09,60347.3,Sunday,18,Weekend,May-2025,1014.086945
19-05-2025,594.81,80321.57,Monday,19,Weekday,May-2025,1350.373565
20-05-2025,584.47,78514.86,Tuesday,20,Weekday,May-2025,1343.351412
21-05-2025,591.01,77375.62,Wednesday,21,Weekday,May-2025,1309.209996
22-05-2025,589.58,75556,Thursday,22,Weekday,May-2025,1281.52244
23-05-2025,591.76,73524.04,Friday,23,Weekday,May-2025,1242.463837
24-05-2025,585.47,69120.98,Saturday,24,Weekend,May-2025,1180.606692
25-05-2025,583.56,58284.01,Sunday,25,Weekend,May-2025,998.7663651
26-05-2025,578.54,76999.96,Monday,26,Weekday,May-2025,1330.935804
27-05-2025,577.51,74452.63,Tuesday,27,Weekday,May-2025,1289.200706
28-05-2025,581.75,75951.73,Wednesday,28,Weekday,May-2025,1305.573356
29-05-2025,579.36,76027.13,Thursday,29,Weekday,May-2025,1312.260598
30-05-2025,599.23,86128.51,Friday,30,Weekday,May-2025,1437.319727
31-05-2025,617.63,93024.8,Saturday,31,Weekend,May-2025,1506.157408
01-06-2025,644.31,82861.02,Sunday,1,Weekend,Jun-2025,1286.042743
02-06-2025,650.25,106309.47,Monday,2,Weekday,Jun-2025,1634.901499
03-06-2025,648.74,97443.74,Tuesday,3,Weekday,Jun-2025,1502.04612
04-06-2025,637.59,98723.85,Wednesday,4,Weekday,Jun-2025,1548.390815
05-06-2025,641.39,96560.1,Thursday,5,Weekday,Jun-2025,1505.481844
06-06-2025,658.35,93649.21,Friday,6,Weekday,Jun-2025,1422.483633
07-06-2025,606.83,75791.75,Saturday,7,Weekend,Jun-2025,1248.978297
08-06-2025,601.5,63812.4,Sunday,8,Weekend,Jun-2025,1060.887781
09-06-2025,623.16,91121.07,Monday,9,Weekday,Jun-2025,1462.24196
10-06-2025,634.29,91838.53,Tuesday,10,Weekday,Jun-2025,1447.894969
11-06-2025,626.61,87210.64,Wednesday,11,Weekday,Jun-2025,1391.785002
12-06-2025,613.45,82500.72,Thursday,12,Weekday,Jun-2025,1344.864618
13-06-2025,613.38,79449.86,Friday,13,Weekday,Jun-2025,1295.279598
